Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:18oVG6QFIWbYa6APlBfp5F,"Back On the Bottle","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,230000,32,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.304,0.998,11,-2.381,0,0.178,0.0000273,0.781,0.0695,0.0584,200.567,4
spotify:track:0qKDIzSX2ZXaUbInW5OgH2,"Born To Kill","No Guts. No Glory","Airbourne",2010-03-05,219520,32,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.289,0.998,9,-2.88,1,0.179,0.000141,0.502,0.149,0.112,166.449,4
spotify:track:1d4gfankMuA7ghLkNRYeeF,"Cradle to the Grave","Black Dog Barking","Airbourne",2013-05-17,202573,33,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.492,0.96,2,-2.853,1,0.0738,0.0091,0.0174,0.178,0.38,134.671,4
spotify:track:2BSn68K2eb7ouaqWPiUO03,"Get Back Up","Breakin' Outta Hell","Airbourne",2016-09-23,217563,32,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.62,0.98,2,-3.475,1,0.0753,0.00046,0.819,0.0628,0.385,123.555,4
spotify:track:47kztPC8f1pUp2r2fXyKD6,"Switchblade Angel","Boneshaker","Airbourne",2019-10-25,126226,29,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.257,0.985,9,-3.411,1,0.132,0.00127,0.0000382,0.267,0.292,172.127,4
spotify:track:7flrHwaOUDVXgz4a2BDWJQ,"It Aint Over Till It's Over","No Guts. No Glory","Airbourne",2010-03-05,197706,31,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.484,0.999,9,-2.336,1,0.184,0.000271,0.111,0.159,0.0323,111.019,4
spotify:track:0aRr7fWlogh8SkjYxhfhUZ,"Heavy Weight Lover","Diamond Cuts: The B-Sides","Airbourne",2017-09-29,205694,30,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.502,0.907,11,-3.775,1,0.0843,0.000809,0.386,0.0698,0.524,131.987,4
spotify:track:7MeLCs4dU5AJOQRPxEBEux,"You Got the Skills (To Pay the Bills)","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,213666,30,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.562,0.971,9,-4.405,1,0.0665,0.0173,0.00157,0.195,0.383,120.064,4
spotify:track:7rSQev48GHrs90TJ41AGiA,"Rock 'N' Roll For Life","Boneshaker","Airbourne",2019-10-25,160221,30,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.416,0.975,10,-4.193,1,0.135,0.00688,0.000154,0.391,0.277,107.053,4
spotify:track:6M38uEChX2RDxzjSpIdhww,"Armed and Dangerous","No Guts. No Glory","Airbourne",2010-03-05,252946,30,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.287,0.984,9,-3.151,1,0.0999,0.0000505,0.0816,0.302,0.438,95.643,4
spotify:track:2oN0s7E6sAM3KW1FDpum1T,"Money","Diamond Cuts: The B-Sides","Airbourne",2017-09-29,171801,29,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.371,0.997,7,-3.645,1,0.186,0.000108,0.16,0.331,0.161,154.056,4
spotify:track:5icQzyVNu2gsJQwokqG0xR,"Rattle Your Bones","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,156546,29,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.503,0.99,8,-3.678,1,0.136,0.00036,0.000724,0.0525,0.243,136.945,4
spotify:track:7roQrEuKvdpmwS5miUMUnj,"Sex To Go","Boneshaker","Airbourne",2019-10-25,154605,28,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.452,0.957,7,-3.126,1,0.0863,0.0575,0.023,0.094,0.272,131.096,4
spotify:track:5QazMMSYhzzBn7IVHM1VKl,"Jack Attack","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,172986,29,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.541,0.977,2,-3.744,1,0.0877,0.00704,0.247,0.152,0.436,113,4
spotify:track:7wHQBS9rlPhdcXblLturCg,"White Line Fever","No Guts. No Glory","Airbourne",2010-03-05,189800,28,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.597,0.927,9,-2.054,1,0.0521,0.000188,0.627,0.123,0.748,121.964,4
